Con,Lab,LD,UKIP,Green,BXP,date_published,date_ordinals
31.0,22.0,21.0,0.0,7.0,14.0,2019-08-08,737279
31.0,28.0,13.0,1.0,5.0,16.0,2019-08-11,737282
31.0,27.0,16.0,1.0,4.0,16.0,2019-08-13,737284
31.0,25.0,19.0,1.0,7.0,12.0,2019-08-18,737289
42.0,28.0,15.0,0.0,3.0,5.0,2019-08-21,737292
30.0,21.0,20.0,1.0,8.0,14.0,2019-08-21,737292
32.0,22.0,20.0,0.0,7.0,12.0,2019-08-23,737294
32.0,26.0,15.0,1.0,4.0,16.0,2019-08-25,737296
33.0,21.0,19.0,0.0,7.0,14.0,2019-08-25,737296
34.0,22.0,17.0,1.0,8.0,13.0,2019-08-29,737300
33.0,22.0,21.0,0.0,7.0,12.0,2019-08-30,737301
34.0,21.0,23.0,0.0,5.0,12.0,2019-09-02,737304
35.0,25.0,16.0,1.0,7.0,11.0,2019-09-03,737305
31.0,28.0,19.0,0.0,2.0,15.0,2019-09-07,737309
35.0,21.0,19.0,0.0,7.0,12.0,2019-09-08,737310
35.0,25.0,17.0,1.0,3.0,13.0,2019-09-08,737310
31.0,28.0,17.0,1.0,4.0,13.0,2019-09-08,737310
31.0,27.0,20.0,1.0,3.0,13.0,2019-09-08,737310
30.0,29.0,17.0,1.0,4.0,13.0,2019-09-11,737313
38.0,24.0,20.0,1.0,3.0,7.0,2019-09-11,737313
32.0,23.0,19.0,0.0,7.0,14.0,2019-09-11,737313
28.0,27.0,20.0,1.0,5.0,13.0,2019-09-14,737316
37.0,25.0,16.0,1.0,2.0,13.0,2019-09-14,737316
31.0,27.0,19.0,1.0,6.0,13.0,2019-09-15,737317
33.0,24.0,23.0,0.0,4.0,10.0,2019-09-19,737321
32.0,21.0,23.0,1.0,4.0,14.0,2019-09-19,737321
37.0,22.0,17.0,2.0,4.0,12.0,2019-09-22,737324
30.0,23.0,22.0,0.0,5.0,14.0,2019-09-22,737324
29.0,27.0,21.0,0.0,5.0,13.0,2019-09-23,737325
33.0,22.0,22.0,0.0,6.0,14.0,2019-09-26,737328
36.0,24.0,20.0,0.0,2.0,11.0,2019-09-28,737330
33.0,22.0,21.0,0.0,5.0,13.0,2019-09-29,737331
40.0,28.0,14.0,1.0,2.0,11.0,2019-10-03,737335
39.0,27.0,16.0,0.0,4.0,7.0,2019-10-03,737335
42.0,26.0,16.0,0.0,2.0,9.0,2019-10-03,737335
36.0,28.0,17.0,0.0,3.0,10.0,2019-10-03,737335
33.0,27.0,19.0,1.0,3.0,13.0,2019-10-06,737338
38.0,23.0,15.0,1.0,4.0,12.0,2019-10-06,737338
31.0,26.0,20.0,0.0,7.0,11.0,2019-10-08,737340
35.0,22.0,20.0,0.0,6.0,12.0,2019-10-11,737343
36.0,29.0,17.0,0.0,3.0,11.0,2019-10-11,737343
33.0,27.0,18.0,0.0,4.0,12.0,2019-10-12,737344
33.0,30.0,17.0,0.0,3.0,12.0,2019-10-14,737346
37.0,22.0,18.0,1.0,5.0,11.0,2019-10-16,737348
36.0,27.0,17.0,0.0,3.0,11.0,2019-10-18,737350
33.0,29.0,18.0,0.0,4.0,12.0,2019-10-18,737350
39.0,25.0,18.0,1.0,3.0,8.0,2019-10-19,737351
37.0,24.0,16.0,2.0,4.0,12.0,2019-10-20,737352
37.0,22.0,19.0,1.0,7.0,11.0,2019-10-22,737354
37.0,24.0,19.0,1.0,3.0,11.0,2019-10-22,737354
36.0,23.0,18.0,0.0,6.0,12.0,2019-10-26,737358
40.0,24.0,15.0,1.0,3.0,10.0,2019-10-27,737359
36.0,22.0,19.0,0.0,6.0,12.0,2019-10-31,737363
36.0,21.0,18.0,0.0,6.0,13.0,2019-10-31,737363
41.0,24.0,20.0,0.0,3.0,7.0,2019-10-31,737363
46.0,31.0,13.0,0.0,2.0,2.0,2019-11-01,737364
45.0,32.0,15.0,0.0,1.0,3.0,2019-11-01,737364
39.0,33.0,13.0,0.0,5.0,4.0,2019-11-01,737364
38.0,31.0,15.0,1.0,3.0,9.0,2019-11-04,737367
38.0,25.0,16.0,0.0,5.0,11.0,2019-11-05,737368
36.0,25.0,17.0,0.0,5.0,11.0,2019-11-07,737370
39.0,26.0,17.0,0.0,4.0,10.0,2019-11-10,737373
37.0,29.0,16.0,0.0,7.0,9.0,2019-11-10,737373
41.0,29.0,15.0,0.0,2.0,6.0,2019-11-10,737373
41.0,29.0,16.0,1.0,2.0,6.0,2019-11-10,737373
39.0,26.0,16.0,0.0,5.0,9.0,2019-11-12,737375
37.0,27.0,17.0,1.0,3.0,9.0,2019-11-13,737376
37.0,29.0,17.0,0.0,3.0,9.0,2019-11-13,737376
40.0,30.0,16.0,0.0,3.0,7.0,2019-11-14,737377
41.0,33.0,14.0,0.0,2.0,5.0,2019-11-17,737380
