Year,Month,Fieldwork,,Published,Polling,,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,
2020,May,21-22,21/5/20,24,Opinium,Ob,47.0,-2.0,35.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0
2020,May,22-26,22/5/20,26,Survation,,46.0,-2.0,33.0,2.0,8.0,0.0,4.0,-1.0,0.0,-1.0,,
2020,May,23-25,23/5/20,,YouGov,,,,,,,,,,,,,
2020,May,25-26,25/5/20,27,YouGov,,44.0,-4.0,38.0,5.0,6.0,0.0,4.0,-1.0,2.0,0.0,,
2020,May,26-27,26/5/20,29,YouGov,Datapraxis,43.0,,38.0,,6.0,,4.0,,3.0,,,
2020,May,27,27/5/20,27,R+W,,43.0,-4.0,37.0,2.0,9.0,0.0,3.0,0.0,,,,
2020,May,27-28,27/5/20,31,Deltapoll,MoS,43.0,,38.0,,8.0,,4.0,,2.0,,,
2020,May,27,27/5/20,29,R+W,NS,,,,,,,,,,,,
2020,May,28-29,28/5/20,31,Opinium,Ob,43.0,-4.0,39.0,4.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,-1.0
2020,May,29-30,29/5/20,1,YouGov,TT,45.0,1.0,35.0,-3.0,6.0,0.0,5.0,1.0,2.0,0.0,,
2020,May,29-3,29/5/20,5,Ipsos,,,,,,,,,,,,,
2020,Jun,1-2,1/6/20,,YouGov,,,,,,,,,,,,,
2020,Jun,3,3/6/20,4,R+W,,43.0,0.0,36.0,-1.0,9.0,0.0,5.0,2.0,,,,
2020,Jun,3,3/6/20,4,R+W,MailOnline,,,,,,,,,,,,
2020,Jun,3,3/6/20,7,Survation,,41.0,-5.0,39.0,6.0,7.0,-1.0,4.0,0.0,1.0,1.0,,
2020,Jun,4-5,4/6/20,7,Deltapoll,,41.0,-2.0,38.0,0.0,8.0,0.0,4.0,0.0,3.0,1.0,,
2020,Jun,4-5,4/6/20,7,Opinium,Ob,43.0,0.0,40.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0
2020,Jun,5-10,5/6/20,12,Ipsos,ES,43.0,-9.0,38.0,8.0,10.0,1.0,3.0,-1.0,0.0,0.0,0.0,0.0
2020,Jun,6-8,6/6/20,9,YouGov,,,,,,,,,,,,,
2020,Jun,9-10,9/6/20,11,Survation,,42.0,1.0,36.0,-3.0,8.0,1.0,4.0,0.0,1.0,0.0,,
2020,Jun,10-11,10/6/20,,YouGov,,,,,,,,,,,,,
2020,Jun,11,11/6/20,13,R+W,,41.0,-2.0,39.0,3.0,9.0,0.0,4.0,-1.0,,,,
