Con,Lab,LD,Green,BXP/Reform,date_published,date_ordinals
40.0,36.0,9.0,4.0,3.0,2021-10-09,738072
34.0,40.0,10.0,4.0,3.0,2021-10-12,738075
40.0,35.0,8.0,5.0,2.0,2021-10-14,738077
41.0,31.0,9.0,8.0,4.0,2021-10-14,738077
38.0,37.0,9.0,6.0,2.0,2021-10-17,738080
40.0,32.0,6.0,9.0,3.0,2021-10-18,738081
40.0,37.0,9.0,5.0,3.0,2021-10-18,738081
39.0,34.0,8.0,8.0,2.0,2021-10-21,738084
40.0,35.0,8.0,5.0,3.0,2021-10-21,738084
37.0,33.0,9.0,10.0,4.0,2021-10-22,738085
39.0,36.0,10.0,6.0,4.0,2021-10-25,738088
37.0,35.0,8.0,7.0,4.0,2021-10-27,738090
39.0,33.0,8.0,10.0,3.0,2021-10-29,738092
41.0,37.0,8.0,4.0,2.0,2021-11-02,738096
41.0,36.0,6.0,7.0,3.0,2021-11-02,738096
45.0,36.0,6.0,4.0,4.0,2021-11-04,738098
42.0,34.0,8.0,4.0,2.0,2021-11-05,738099
44.0,31.0,7.0,9.0,2.0,2021-11-06,738100
41.0,33.0,8.0,7.0,3.0,2021-11-08,738102
37.0,33.0,12.0,8.0,4.0,2021-11-09,738103
40.0,36.0,9.0,6.0,4.0,2021-11-10,738104
36.0,38.0,10.0,6.0,3.0,2021-11-11,738105
33.0,39.0,9.0,4.0,4.0,2021-11-12,738106
34.0,40.0,10.0,5.0,3.0,2021-11-13,738107
36.0,37.0,10.0,5.0,4.0,2021-11-15,738109
37.0,37.0,10.0,4.0,2.0,2021-11-17,738111
36.0,34.0,7.0,10.0,5.0,2021-11-19,738113
37.0,37.0,9.0,6.0,4.0,2021-11-22,738116
36.0,38.0,10.0,5.0,3.0,2021-11-24,738118
39.0,36.0,10.0,5.0,2.0,2021-11-25,738119
36.0,35.0,11.0,8.0,2.0,2021-11-27,738121
38.0,36.0,10.0,6.0,4.0,2021-11-29,738123
37.0,37.0,8.0,5.0,4.0,2021-11-30,738124
40.0,37.0,8.0,4.0,2.0,2021-12-01,738125
41.0,37.0,8.0,5.0,2.0,2021-12-01,738125
41.0,34.0,6.0,6.0,3.0,2021-12-04,738128
43.0,36.0,7.0,5.0,3.0,2021-12-04,738128
41.0,33.0,12.0,6.0,3.0,2021-12-07,738131
41.0,33.0,10.0,4.0,2.0,2021-12-08,738132
35.0,35.0,8.0,10.0,4.0,2021-12-11,738135
32.0,39.0,9.0,5.0,4.0,2021-12-13,738137
