,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/ PC Vote,Other Vote,Total votes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
36,40,BATH,South West,0.41,0.28,0.31,,,46133.0,,,,,,,,,,,,,,322.0,0.01,,51276,0.8302192286519219
37,41,BATLEY & MORLEY,Yorkshire and the Humber,0.3,0.45,0.24,,,69180.0,,,,,,,,,,,,,,828.0,0.02,,48197,0.7836273473701325
38,42,BATTERSEA NORTH,London,0.26,0.59,0.15,,,49197.0,,,,,,,,,,,,,,208.0,0.01,,31474,0.7072491123994428
39,43,BATTERSEA SOUTH,London,0.38,0.43,0.17,,,54907.0,,,,,,,,,,,,,,787.0,0.02,,33915,0.7301713744402343
40,44,BEACONSFIELD,South East,0.5,0.22,0.28,,,48317.0,,,,,,,,,,,,,,,,,52523,0.7730905665376293
41,45,BEBINGTON & ELLESMERE PORT,North West,0.38,0.44,0.17,,,51567.0,,,,,,,,,,,,,,,,,71610,0.8345764766211365
42,46,BECKENHAM,London,0.49,0.24,0.27,,,34995.0,,,,,,,,,,,,,,,,,46815,0.7938917058115281
43,47,BEDFORD,Eastern,0.43,0.32,0.25,,,57464.0,,,,,,,,,,,,,,,,,61348,0.8350643163411148
44,48,BEDFORDSHIRE MID,Eastern,0.45,0.28,0.27,,,53387.0,,,,,,,,,,,,,,,,,63986,0.858676543607499
45,49,BEDFORDSHIRE SOUTH,Eastern,0.4,0.29,0.31,,,48808.0,,,,,,,,,,,,,,,,,53849,0.845353218210361
46,50,BEDWELLTY,Wales,0.13,0.67,0.13,0.08,,46437.0,,,,,,,,,,,,,,,,,39759,0.7990473893645244
47,51,BEESTON,East Midlands,0.42,0.38,0.19,,,73662.0,,,,,,,,,,,,,,,,,62521,0.849066340734705
48,56,BELPER,East Midlands,0.48,0.52,,,,41566.0,,,,,,,,,,,,,,,,,59188,0.8379178051162989
49,57,BERMONDSEY,London,0.17,0.69,0.1,,,27079.0,,,,,,,,,,,,,,1485.0,0.04,,36209,0.6594965758414687
50,58,BERWICK & EAST LOTHIAN,Scotland,0.43,0.42,,,0.14,59817.0,,,,,,,,,,,,,,,,,48884,0.8583820611424257
51,59,BERWICK-UPON-TWEED,North East,0.43,0.12,0.45,,,31227.0,,,,,,,,,,,,,,,,,35347,0.8514271949897627
52,60,BETHNALL GREEN & BOW,London,0.15,0.66,0.2,,,20359.0,,,,,,,,,,,,,,,,,32575,0.6099045122636211
53,61,BEXLEYHEATH,London,0.43,0.34,0.22,,,30092.0,,,,,,,,,,,,,,,,,42791,0.8463744610150717
54,62,BIRKENHEAD,North West,0.3,0.45,0.25,,,37387.0,,,,,,,,,,,,,,,,,45808,0.7649072419723814
55,63,BIRMINGHAM EDGBASTON,West Midlands,0.54,0.41,,,,44229.0,,,,,,,,,,,,,,2391.0,0.05,,48299,0.693642199595008
56,64,BIRMINGHAM ERDINGTON,West Midlands,0.34,0.49,0.15,,,41494.0,,,,,,,,,,,,,,1145.0,0.02,,47164,0.7230304609771427
