,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
317,S14000042,LANARK AND HAMILTON EAST,,,,,,,,,,,,,,,,
318,E14000776,LANCASTER AND FLEETWOOD,,,,,,,,,,,,,,,,
319,E14000777,LEEDS CENTRAL,,,,,,,,,,,,,,,,
320,E14000778,LEEDS EAST,,,,,,,,,,,,,,,,
321,E14000779,LEEDS NORTH EAST,,,,,,,,,,,,,,,,
322,E14000780,LEEDS NORTH WEST,,,,,,,,,,,,,,,,
323,E14000781,LEEDS WEST,,,,,,,,,,,,,,,,
324,E14000782,LEICESTER EAST,,,,,,,,,,,,,,,,
325,E14000783,LEICESTER SOUTH,,,,,,,,,,,,,,,,
326,E14000784,LEICESTER WEST,,,,,,,,,,,,,,,,
327,E14000785,LEIGH,,,,,,,,,,,,,,,,
328,E14000786,LEWES,,,,,,,,,,,,,,,,
329,E14000789,"LEWISHAM, DEPTFORD",,,,,,,,,,,,,,,,
330,E14000787,LEWISHAM EAST,,,,,,,,,,,,,,,,
331,E14000788,LEWISHAM WEST AND PENGE,,,,,,,,,,,,,,,,
332,E14000790,LEYTON AND WANSTEAD,,,,,,,,,,,,,,,,
333,E14000791,LICHFIELD,,,,,,,,,,,,,,,,
334,E14000792,LINCOLN,,,,,,,,,,,,,,,,
335,S14000043,LINLITHGOW AND EAST FALKIRK,,,,,,,,,,,,,,,,
336,E14000793,"LIVERPOOL, RIVERSIDE",,,,,,,,,,,,,,,,
337,E14000794,"LIVERPOOL, WALTON",,,,,,,,,,,,,,,,
338,E14000795,"LIVERPOOL, WAVERTREE",,,,,,,,,,,,,,,,
339,E14000796,"LIVERPOOL, WEST DERBY",,,,,,,,,,,,,,,,
340,S14000044,LIVINGSTON,,,,,,,,,,,,,,,,
341,W07000045,LLANELLI,,,,,,,,,,,0.3089397204265429,0.2647691263014939,0.29937801980726625,0.2295069217607715,0.18221704427147886,0.18434336829440537
342,E14000797,LOUGHBOROUGH,,,,,,,,,,,,,,,,
343,E14000798,LOUTH AND HORNCASTLE,,,,,,,,,,,,,,,,
344,E14000799,LUDLOW,,,,,,,,,,,,,,,,
345,E14000800,LUTON NORTH,,,,,,,,,,,,,,,,
346,E14000801,LUTON SOUTH,,,,,,,,,,,,,,,,
347,E14000802,MACCLESFIELD,,,,,,,,,,,,,,,,
348,E14000803,MAIDENHEAD,,,,,,,,,,,,,,,,
349,E14000804,MAIDSTONE AND THE WEALD,,,,,,,,,,,,,,,,
350,E14000805,MAKERFIELD,,,,,,,,,,,,,,,,
351,E14000806,MALDON,,,,,,,,,,,,,,,,
