,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
136,E14000637,CHORLEY,,,,,,,,,,,,,,,,
137,E14000638,CHRISTCHURCH,,,,,,,,,,,,,,,,
138,E14000639,CITIES OF LONDON AND WESTMINSTER,,,,,,,,,,,,,,,,
139,E14000640,CITY OF CHESTER,,,,,,,,,,,,,,,,0.025439882697947214
140,E14000641,CITY OF DURHAM,,,,,,,,,,,,,,,,0.06655887349311283
141,E14000642,CLACTON,,,,,,,,,,,,,,,,
142,E14000643,CLEETHORPES,,,,,,,,,,,,,,,,
143,W07000062,CLWYD SOUTH,,,,,,,,,,,,,,,,0.0404340880295268
144,W07000059,CLWYD WEST,,,,,,,,,,,,,,,,
145,S14000011,"COATBRIDGE, CHRYSTON AND BELLSHILL",,,,,,,,,,,,,,,,
146,E14000644,COLCHESTER,,,,,,,,,,,,,,,,
147,E14000645,COLNE VALLEY,,,,,,,,,,,,,,,,0.02082375353084149
148,E14000646,CONGLETON,,,,,,,,,,,,,,,,
149,E14000647,COPELAND,,,,,,,,,,,,,,,,
150,E14000648,CORBY,,,,,,,,,,,,,,,,
151,E14000649,COVENTRY NORTH EAST,,,,,,,,,,,,,,,,0.047475474754747546
152,E14000650,COVENTRY NORTH WEST,,,,,,,,,,,,,,,,0.040968498659517426
153,E14000651,COVENTRY SOUTH,,,,,,,,,,,,,,,,0.03179113755439126
154,E14000652,CRAWLEY,,,,,,,,,,,,,,,,
155,E14000653,CREWE AND NANTWICH,,,,,,,,,,,,,,,,0.025725496002368967
156,E14000654,CROYDON CENTRAL,,,,,,,,,,,,,,,,0.018484596169858453
157,E14000655,CROYDON NORTH,,,,,,,,,,,,,,,,0.015087485838623245
158,E14000656,CROYDON SOUTH,,,,,,,,,,,,,,,,
159,S14000012,"CUMBERNAULD, KILSYTH AND KIRKINTILLOCH EAST",,,,,,,,,,,,,,,,
160,W07000070,CYNON VALLEY,,,,,,,,,,,,,,,,0.10070776557745734
161,E14000657,DAGENHAM AND RAINHAM,,,,,,,,,,,,,,,,0.06601120384131702
162,E14000658,DARLINGTON,,,,,,,,,,,,,,,,0.03549588486826981
163,E14000659,DARTFORD,,,,,,,,,,,,,,,,
164,E14000660,DAVENTRY,,,,,,,,,,,,,,,,
165,W07000042,DELYN,,,,,,,,,,,,,,,,0.05136825645035184
166,E14000661,DENTON AND REDDISH,,,,,,,,,,,,,,,,0.07875505338447186
167,E14000662,DERBY NORTH,,,,,,,,,,,,,,,,0.04058106642278325
168,E14000664,DERBYSHIRE DALES,,,,,,,,,,,,,,,,
169,E14000663,DERBY SOUTH,,,,,,,,,,,,,,,,0.05840516226272903
170,E14000665,DEVIZES,,,,,,,,,,,,,,,,
171,E14000666,DEWSBURY,,,,,,,,,,,,,,,,0.03323343205235064
172,E14000668,DONCASTER CENTRAL,,,,,,,,,,,,,,,,0.16454630720761887
173,E14000669,DONCASTER NORTH,,,,,,,,,,,,,,,,0.2037937982210428
174,E14000667,DON VALLEY,,,,,,,,,,,,,,,,0.1374870700090235
175,E14000670,DOVER,,,,,,,,,,,,,,,,
176,E14000671,DUDLEY NORTH,,,,,,,,,,,,,,,,
177,E14000672,DUDLEY SOUTH,,,,,,,,,,,,,,,,
178,E14000673,DULWICH AND WEST NORWOOD,,,,,,,,,,,,,,,,0.010237011007924271
179,S14000013,DUMFRIES AND GALLOWAY,,,,,,,,,,,,,,,,
180,S14000014,"DUMFRIESSHIRE, CLYDESDALE AND TWEEDDALE",,,,,,,,,,,,,,,,
181,S14000015,DUNDEE EAST,,,,,,,,,,,,,,,,
182,S14000016,DUNDEE WEST,,,,,,,,,,,,,,,,0.030568315736309193
183,S14000017,DUNFERMLINE AND WEST FIFE,,,,,,,,,,,,,,,,
184,W07000061,DWYFOR MEIRIONNYDD,,,,,,,,,,,,,,,,0.05934242181234964
185,E14000674,EALING CENTRAL AND ACTON,,,,,,,,,,,,,,,,0.012115240753918295
186,E14000675,EALING NORTH,,,,,,,,,,,,,,,,
187,E14000676,"EALING, SOUTHALL",,,,,,,,,,,,,,,,0.02053675059810029
188,E14000677,EASINGTON,,,,,,,,,,,,,,,,0.19500910852152792
189,N06000005,EAST ANTRIM,,,,,,,,,,,,,,,,
190,E14000684,EASTBOURNE,,,,,,,,,,,,,,,,0.0277505713352922
191,E14000678,EAST DEVON,,,,,,,,,,,,,,,,
192,S14000018,EAST DUNBARTONSHIRE,,,,,,,,,,,,,,,,
193,E14000679,EAST HAM,,,,,,,,,,,,,,,,0.020264333308925825
194,E14000680,EAST HAMPSHIRE,,,,,,,,,,,,,,,,
195,S14000019,"EAST KILBRIDE, STRATHAVEN AND LESMAHAGOW",,,,,,,,,,,,,,,,
196,E14000685,EASTLEIGH,,,,,,,,,,,,,,,,
197,N06000006,EAST LONDONDERRY,,,,,,,,,,,,,,,,
198,S14000020,EAST LOTHIAN,,,,,,,,,,,,,,,,
199,S14000021,EAST RENFREWSHIRE,,,,,,,,,,,,,,,,
200,E14000681,EAST SURREY,,,,,,,,,,,,,,,,
201,E14000682,EAST WORTHING AND SHOREHAM,,,,,,,,,,,,,,,,
202,E14000683,EAST YORKSHIRE,,,,,,,,,,,,,,,,
203,E14000686,EDDISBURY,,,,,,,,,,,,,,,,
204,S14000022,EDINBURGH EAST,,,,,,,,,,,,,,,,
205,S14000023,EDINBURGH NORTH AND LEITH,,,,,,,,,,,,,,,,0.00940280399029388
206,S14000024,EDINBURGH SOUTH,,,,,,,,,,,,,,,,
207,S14000025,EDINBURGH SOUTH WEST,,,,,,,,,,,,,,,,0.011989027641902131
208,S14000026,EDINBURGH WEST,,,,,,,,,,,,,,,,
209,E14000687,EDMONTON,,,,,,,,,,,,,,,,0.020822488287350338
210,E14000688,ELLESMERE PORT AND NESTON,,,,,,,,,,,,,,,,0.04386000902638165
211,E14000689,ELMET AND ROTHWELL,,,,,,,,,,,,,,,,
212,E14000690,ELTHAM,,,,,,,,,,,,,,,,0.034860033418022844
213,E14000691,ENFIELD NORTH,,,,,,,,,,,,,,,,0.017691453940066593
214,E14000692,"ENFIELD, SOUTHGATE",,,,,,,,,,,,,,,,0.01044927658854387
215,E14000693,EPPING FOREST,,,,,,,,,,,,,,,,
216,E14000694,EPSOM AND EWELL,,,,,,,,,,,,,,,,
217,E14000695,EREWASH,,,,,,,,,,,,,,,,
218,E14000696,ERITH AND THAMESMEAD,,,,,,,,,,,,,,,,0.05427218248598492
219,E14000697,ESHER AND WALTON,,,,,,,,,,,,,,,,
220,E14000698,EXETER,,,,,,,,,,,,,,,,0.025412870159453302
221,S14000028,FALKIRK,,,,,,,,,,,,,,,,
222,E14000699,FAREHAM,,,,,,,,,,,,,,,,
223,E14000700,FAVERSHAM AND MID KENT,,,,,,,,,,,,,,,,
224,E14000701,FELTHAM AND HESTON,,,,,,,,,,,,,,,,0.0346782121269164
225,N06000007,FERMANAGH AND SOUTH TYRONE,,,,,,,,,,,,,,,,
226,E14000702,FILTON AND BRADLEY STOKE,,,,,,,,,,,,,,,,
