,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/PC Vote,DUP Vote,OUP Vote,Sinn Fein Vote,SDLP Vote,Alliance Vote,Worker's Party Vote,Other Vote,Total votes
156,157,ERITH & CRAYFORD,London,0.37118232580723476,0.2733673221655742,0.3488468074775431,,,,,,,,0.006603544549647973,41190
157,158,FELTHAM & HESTON,London,0.4336952945047713,0.39442799166392456,0.15915323022924208,,,,,,,,0.012723483602062081,54702
158,159,FINCHLEY,London,0.510607283233985,0.26816253221230185,0.20207199937527656,,,,,,,,0.01915818517843663,38417
159,160,FULHAM,London,0.46178432814997084,0.34030085487430556,0.18249156540929962,,,,,,,,0.015423251566423987,39421
160,161,GREENWICH,London,0.3476991758241758,0.38235462454212454,0.2513450091575092,,,,,,,,0.018601190476190476,34944
161,162,HACKNEY NORTH & STOKE NEWINGTON,London,0.2861918724138876,0.5203463677965637,0.15745485435562984,,,,,,,,0.03600690543391884,36493
162,163,HACKNEY SOUTH & SHOREDITCH,London,0.2328067156786068,0.43331247718859167,0.18314302101256583,,,,,,,,0.15073778612023567,38358
163,164,HAMMERSMITH,London,0.3553279435900553,0.4147164306121208,0.14968694912163394,,,,,,,,0.08026867667618989,32902
164,165,HAMPSTEAD & HIGHGATE,London,0.4122744006464937,0.33662566220705753,0.24759809643530573,,,,,,,,0.003501840711143037,44548
165,166,HARROW EAST,London,0.49764415526138656,0.22334788836920316,0.2790079563694103,,,,,,,,,57941
166,167,HARROW WEST,London,0.5303391176137008,0.14765037238667725,0.32201050999962194,,,,,,,,,52902
167,168,HAYES & HARLINGTON,London,0.4028750551011412,0.2991869520497625,0.2900034285154528,,,,,,,,0.007934564333643533,40834
168,169,HENDON NORTH,London,0.49904232647225444,0.23701745393725215,0.25557743667215194,,,,,,,,0.008362782918341471,37069
169,170,HENDON SOUTH,London,0.4860558900374872,0.21058161990230603,0.30336249006020677,,,,,,,,,35212
170,171,HOLBORN & ST PANCRAS,London,0.30681976339596384,0.4752029691486894,0.21438181396427744,,,,,,,,0.0035954534910693572,43110
171,172,HORNCHURCH,London,0.4704446496899327,0.2684830892378062,0.24741610590667196,,,,,,,,0.013656155165589127,45474
172,173,HORNSEY & WOOD GREEN,London,0.42442391056354095,0.3502927979314016,0.209046315309149,,,,,,,,0.016236976195908435,52596
173,174,ILFORD NORTH,London,0.5133806917433329,0.25249796203563524,0.23412134622103178,,,,,,,,,42935
174,175,ILFORD SOUTH,London,0.4543839583384031,0.34327014333341443,0.19465602414036454,,,,,,,,0.007689874187817877,41093
175,176,ISLINGTON NORTH,London,0.25278649496807704,0.4044746239584461,0.2236770912238935,,,,,,,,0.11906178984958338,36964
176,177,ISLINGTON SOUTH & FINSBURY,London,0.2668788606263318,0.36306746149488844,0.35327596903406794,,,,,,,,0.016777708844711785,37073
177,178,KENSINGTON,London,0.459636129447754,0.2953791659958139,0.22131701819352761,,,,,,,,0.023667686362904523,31055
178,179,KINGSTON UPON THAMES,London,0.5409627344400372,0.12185985015425298,0.3237353704519857,,,,,,,,0.013442044953724107,40842
179,180,LEWISHAM EAST,London,0.40355413473743595,0.35868083305909454,0.21980630905928258,,,,,,,,0.017958723144186922,42542
180,181,LEWISHAM WEST,London,0.44023724685399845,0.3837219791619683,0.16846330792476658,,,,,,,,0.0075774660592666096,44342
181,182,LEWISHAM DEPTFORD,London,0.3154377366896859,0.4834038761416797,0.18751392292269994,,,,,,,,0.013644464245934507,35912
182,183,LEYTON,London,0.31597258829731156,0.43500263574064313,0.24902477596204534,,,,,,,,,37940
183,184,MITCHAM & MORDEN,London,0.4267358271275451,0.2878911798889415,0.27377211484654124,,,,,,,,0.011600878136972149,46462
184,185,NEWHAM NORTH EAST,London,0.2777118993606929,0.4970612497422149,0.20475871313672922,,,,,,,,0.02046813776036296,38792
185,186,NEWHAM NORTH WEST,London,0.21895670206299833,0.4663019771890307,0.18606314133504953,,,,,,,,0.12867817941292145,27969
186,187,NEWHAM SOUTH,London,0.22993781462836838,0.5019618004145692,0.23134438851051228,,,,,,,,0.03675599644655019,27016
187,188,NORWOOD,London,0.36690036698252726,0.4458563838527688,0.1744810209782549,,,,,,,,0.012762228186449034,36514
188,189,OLD BEXLEY & SIDCUP,London,0.6020621878524247,0.13737178454433166,0.26056602760324366,,,,,,,,,37242
189,190,ORPINGTON,London,0.5727694272081718,0.07703680473107681,0.3453775677068166,,,,,,,,0.004816200353934724,44641
190,191,PECKHAM,London,0.2418824113739368,0.5158005835971937,0.21748308188986154,,,,,,,,0.024833923139007886,32214
191,192,PUTNEY,London,0.46532862250979057,0.3585050229865486,0.1632044951472842,,,,,,,,0.01296185935637664,46984
192,193,RAVENSBOURNE,London,0.6304554850997608,0.09376814623835737,0.27015538986830184,,,,,,,,0.005620978793580006,43053
193,194,RICHMOND & BARNES,London,0.4653489836301493,0.07096600107933082,0.46368501529051986,,,,,,,,,44472
