id,Constituency,Region,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
E14000621,CARSHALTON AND WALLINGTON,London,0,0,0,0,0,0,0,0,0,0,0,0,0.007731172960494795,0,0.009871337654916951,0.01545887816204326
E14000622,CASTLE POINT,East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.023674367436743674,0.0,0.0
S14000010,CENTRAL AYRSHIRE,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
E14000623,CENTRAL DEVON,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.019378909657899134,0,0.02646774082013692,0.048784267805482846
E14000624,CENTRAL SUFFOLK AND NORTH IPSWICH,East,0,0,0,0,0,0,0,0,0,0,0,0,0.027180831149382252,0,0.029350364446960583,0.04711111111111111
W07000064,CEREDIGION,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.018192273511422448,0.055805003207184095,0.013629391203761913,0.01653160453808752
E14000625,CHARNWOOD,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.018776279541829782,0.04811704145218098
E14000626,CHATHAM AND AYLESFORD,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.009039651197297235,0,0.01276453553129873,0.025149976926626672
E14000627,CHEADLE,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
E14000628,CHELMSFORD,East,0,0,0,0,0,0,0,0,0,0,0,0,0.008719066546993203,0.03515617741605812,0.014438972915933873,0.0
E14000629,CHELSEA AND FULHAM,London,0,0,0,0,0,0,0,0,0,0,0,0,0.016835608189482137,0,0.019155905810862135,0.0
E14000630,CHELTENHAM,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.050041872150367546,0.01654037746439346,0.0
E14000631,CHESHAM AND AMERSHAM,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.014625123941728319,0,0.030044161297328602,0.054628715093831375
E14000632,CHESTERFIELD,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.013089290778594647,0.029670594948098403,0.01621215598723058,0.025406099234276103
E14000633,CHICHESTER,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06548942053588618,0.03324543542841884,0.04126185849811407
E14000634,CHINGFORD AND WOODFORD GREEN,London,0,0,0,0,0,0,0,0,0,0,0,0,0.015079107316846843,0,0.025638295606993038,0.0
E14000635,CHIPPENHAM,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.00851388756323375,0.04205244824661144,0.0,0.0
E14000636,CHIPPING BARNET,London,0,0,0,0,0,0,0,0,0,0,0,0,0.020174675940562756,0.04717710750193349,0.025368529310935892,0.022373152217339192
E14000637,CHORLEY,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.021484375,0.009526548513498939,0.09029345372460497
E14000638,CHRISTCHURCH,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.043233347415856924,0.026168187383971246,0.04257858366537699
E14000639,CITIES OF LONDON AND WESTMINSTER,London,0,0,0,0,0,0,0,0,0,0,0,0,0.021066312853700142,0,0.021239716458839965,0.017040001872527678
E14000640,CITY OF CHESTER,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.011434067108356486,0,0.0,0.026356304985337243
E14000641,CITY OF DURHAM,North East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.016492839996689015,0.03346364027098385
E14000642,CLACTON,East,0,0,0,0,0,0,0,0,0,0,0,0,0.012406372469447858,0.0267830886511186,0.016287235247479895,0.028157035811152486
E14000643,CLEETHORPES,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.022466677016567235,0.00982359334503804,0.02770884136472518
W07000062,CLWYD SOUTH,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02609514031485284,0.0,0.0
W07000059,CLWYD WEST,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
S14000011,"COATBRIDGE, CHRYSTON AND BELLSHILL",Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.01675618506459841
E14000644,COLCHESTER,East,0,0,0,0,0,0,0,0,0,0,0,0,0.015041505017447278,0.05142716029057683,0.015463628723503596,0.028666179528975325
E14000645,COLNE VALLEY,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.015679253472222224,0.033785211267605635,0.014763323402846739,0.017539249819352294
E14000646,CONGLETON,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.036801632140615194,0.017766000960324376,0.028235458564115107
E14000647,COPELAND,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.009091546497768013,0.029749438570815776,0.0,0.017990264092373538
E14000648,CORBY,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02445971445864635,0.009650482524126206,0.0
E14000649,COVENTRY NORTH EAST,West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.029480713220146337,0.010793841919669735,0.025672756727567275
E14000650,COVENTRY NORTH WEST,West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.010674398625429554,0.043340847809751136,0.013360348251720194,0.030223693029490618
E14000651,COVENTRY SOUTH,West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.013914293180036582,0.03933728460605506,0.012848603458912124,0.02424296243672853
E14000652,CRAWLEY,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.012588413607275176,0.02265705458290422,0.0,0.029078739052886833
E14000653,CREWE AND NANTWICH,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.018044862303819957
E14000654,CROYDON CENTRAL,London,0,0,0,0,0,0,0,0,0,0,0,0,0.01169790806773109,0.027464535992897755,0.010964950692753673,0.022481265611990008
E14000655,CROYDON NORTH,London,0,0,0,0,0,0,0,0,0,0,0,0,0.019680315813917486,0.046990022794364934,0.016486926186203312,0.02929381934578935
E14000656,CROYDON SOUTH,London,0,0,0,0,0,0,0,0,0,0,0,0,0.017417705337168424,0.03732326032714167,0.018365248053283708,0.030021227130294148
S14000012,"CUMBERNAULD, KILSYTH AND KIRKINTILLOCH EAST",Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
W07000070,CYNON VALLEY,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.026220792859018113,0.0,0.0
E14000657,DAGENHAM AND RAINHAM,London,0,0,0,0,0,0,0,0,0,0,0,0,0.0066919877012117926,0,0.011866588137774579,0.013764719332342518
E14000658,DARLINGTON,North East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.035098806543350916,0.011691991878081977,0.024299967814612165
E14000659,DARTFORD,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.025258498988896944,0.014882708763647093,0.026562760305795678
E14000660,DAVENTRY,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.014872329740796539,0.034826154842149355,0.017192749223002714,0.04078184067034824
W07000042,DELYN,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.018154150092105616,0.0,0.0
E14000661,DENTON AND REDDISH,North West,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.012273037197909039,0.02912822639162434
E14000662,DERBY NORTH,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03616046485640854,0.0,0.02224727226322394
E14000664,DERBYSHIRE DALES,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.016502778965369815,0.045881632566879924,0.02021343124003954,0.0411468330134357
E14000663,DERBY SOUTH,East Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.029593336599706026,0.010020747803822894,0.0
E14000665,DEVIZES,South West,0,0,0,0,0,0,0,0,0,0,0,0,0.017544238239102287,0.05821736113945231,0.03174352183108335,0.055128154806295876
E14000666,DEWSBURY,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.01571989334913346,0.025470818571694948,0.01810947033336281,0.018797992516270904
E14000668,DONCASTER CENTRAL,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.023592506192732256
E14000669,DONCASTER NORTH,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.019164071795650744,0.0,0.0
E14000667,DON VALLEY,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.01919140788344301
E14000670,DOVER,South East,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02578448550493788,0.017761613362583226,0.027040886767519378
E14000671,DUDLEY NORTH,West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.013608128026953043,0.006168080185042405,0.020145022353069458
E14000672,DUDLEY SOUTH,West Midlands,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02538602460088982,0.009988494927308859,0.023594706911636044
E14000673,DULWICH AND WEST NORWOOD,London,0,0,0,0,0,0,0,0,0,0,0,0,0.026257933380345957,0,0.025078816593342,0.16513679228369607
S14000013,DUMFRIES AND GALLOWAY,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
S14000014,"DUMFRIESSHIRE, CLYDESDALE AND TWEEDDALE",Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.011113048025799703,0,0.0,0.0
S14000015,DUNDEE EAST,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.013360283967659238,0.018574245097021894,0.0,0.0
S14000016,DUNDEE WEST,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.027396341190678533,0.0,0.0
S14000017,DUNFERMLINE AND WEST FIFE,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.023521932612841703
