,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share,Con Vote
146,E14000644,COLCHESTER,,,,,,,,,,,,,,,,,na
147,E14000645,COLNE VALLEY,,,,,,,,,,,,,,,,,na
148,E14000646,CONGLETON,,,,,,,,,,,,,,,,,na
149,E14000647,COPELAND,,,,,,,,,,,,,,,,,na
150,E14000648,CORBY,,,,,,,,,,,,,,,,,na
151,E14000649,COVENTRY NORTH EAST,,,,,,,,,,,,,,,,,na
152,E14000650,COVENTRY NORTH WEST,,,,,,,,,,,,,,,,,na
153,E14000651,COVENTRY SOUTH,,,,,,,,,,,,,,,,,na
154,E14000652,CRAWLEY,,,,,,,,,,,,,,,,,na
155,E14000653,CREWE AND NANTWICH,,,,,,,,,,,,,,,,,na
156,E14000654,CROYDON CENTRAL,,,,,,,,,,,,,,,,,na
157,E14000655,CROYDON NORTH,,,,,,,,,,,,,,,,,na
158,E14000656,CROYDON SOUTH,,,,,,,,,,,,,,,,,na
159,S14000012,"CUMBERNAULD, KILSYTH AND KIRKINTILLOCH EAST",,,,,,,,,,,,,,,,,na
160,W07000070,CYNON VALLEY,,,,,,,,,,,,,,,,,na
161,E14000657,DAGENHAM AND RAINHAM,,,,,,,,,,,,,,,,,na
162,E14000658,DARLINGTON,,,,,,,,,,,,,,,,,na
163,E14000659,DARTFORD,,,,,,,,,,,,,,,,,na
164,E14000660,DAVENTRY,,,,,,,,,,,,,,,,,na
165,W07000042,DELYN,,,,,,,,,,,,,,,,,na
166,E14000661,DENTON AND REDDISH,,,,,,,,,,,,,,,,,na
167,E14000662,DERBY NORTH,,,,,,,,,,,,,,,,,na
168,E14000664,DERBYSHIRE DALES,,,,,,,,,,,,,,,,,na
169,E14000663,DERBY SOUTH,,,,,,,,,,,,,,,,,na
170,E14000665,DEVIZES,,,,,,,,,,,,,,,,,na
171,E14000666,DEWSBURY,,,,,,,,,,,,,,,,,na
172,E14000668,DONCASTER CENTRAL,,,,,,,,,,,,,,,,,na
173,E14000669,DONCASTER NORTH,,,,,,,,,,,,,,,,,na
174,E14000667,DON VALLEY,,,,,,,,,,,,,,,,,na
175,E14000670,DOVER,,,,,,,,,,,,,,,,,na
176,E14000671,DUDLEY NORTH,,,,,,,,,,,,,,,,,na
177,E14000672,DUDLEY SOUTH,,,,,,,,,,,,,,,,,na
178,E14000673,DULWICH AND WEST NORWOOD,,,,,,,,,,,,,,,,,na
179,S14000013,DUMFRIES AND GALLOWAY,,,,,,,,,,,,,,,,,na
180,S14000014,"DUMFRIESSHIRE, CLYDESDALE AND TWEEDDALE",,,,,,,,,,,,,,,,,na
181,S14000015,DUNDEE EAST,,,,,,,,,,,,,,,,,na
182,S14000016,DUNDEE WEST,,,,,,,,,,,,,,,,,na
183,S14000017,DUNFERMLINE AND WEST FIFE,,,,,,,,,,,,,,,,,na
184,W07000061,DWYFOR MEIRIONNYDD,,,,,,,,,,,,,,,,,na
185,E14000674,EALING CENTRAL AND ACTON,,,,,,,,,,,,,,,,,na
186,E14000675,EALING NORTH,,,,,,,,,,,,,,,,,na
187,E14000676,"EALING, SOUTHALL",,,,,,,,,,,,,,,,,na
188,E14000677,EASINGTON,,,,,,,,,,,,,,,,,na
189,N06000005,EAST ANTRIM,,,,,,,,,,,,,,,,,na
190,E14000684,EASTBOURNE,,,,,,,,,,,,,,,,,na
191,E14000678,EAST DEVON,,,,,,,,,,,,,,,,,na
192,S14000018,EAST DUNBARTONSHIRE,,,,,,,,,,,,,,,,,na
193,E14000679,EAST HAM,,,,,,,,,,,,,,,,,na
194,E14000680,EAST HAMPSHIRE,,,,,,,,,,,,,,,,,na
195,S14000019,"EAST KILBRIDE, STRATHAVEN AND LESMAHAGOW",,,,,,,,,,,,,,,,,na
196,E14000685,EASTLEIGH,,,,,,,,,,,,,,,,,na
197,N06000006,EAST LONDONDERRY,,,,,,,,,,,,,,,,,na
198,S14000020,EAST LOTHIAN,,,,,,,,,,,,,,,,,na
199,S14000021,EAST RENFREWSHIRE,,,,,,,,,,,,,,,,,na
200,E14000681,EAST SURREY,,,,,,,,,,,,,,,,,na
201,E14000682,EAST WORTHING AND SHOREHAM,,,,,,,,,,,,,,,,,na
202,E14000683,EAST YORKSHIRE,,,,,,,,,,,,,,,,,na
203,E14000686,EDDISBURY,,,,,,,,,,,,,,,,,na
204,S14000022,EDINBURGH EAST,,,,,,,,,,,,,,,,,na
205,S14000023,EDINBURGH NORTH AND LEITH,,,,,,,,,,,,,,,,,na
