,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share
54,E14000568,"BIRMINGHAM, YARDLEY",,,,,,,,,,0.4704792653558102,0.46926127086734865,0.3729400971764466,0.32215422276621786,,0.5707159228798706,0.08796101035662403
55,E14000569,BISHOP AUCKLAND,0.6181425246592043,0.648434508556449,0.6068920230685776,,0.5284533877709731,0.4874639330453951,0.44378121098626716,0.4797964681233164,0.49989196586121215,0.659247356192048,0.5881895277367152,0.5000262274443978,0.38951283547257876,0.4139988321612633,0.4807652318569349,0.04760629394040844
56,E14000570,BLACKBURN,0.5746108717771091,0.5832835409293561,0.532409381663113,0.48,0.5145820159352472,0.5071369679480573,0.4473169786731944,0.4990630855715178,0.4844301356906399,0.5503947783977261,0.5413563697746003,0.4200932902762827,0.4780544627354447,0.5627855178526785,0.6976323266336947,0.025259298998569386
57,E14000571,BLACKLEY AND BROUGHTON,,,,,,,,,,,,,0.5427143024207695,,0.7044599007802956,0.041172510228390906
58,E14000572,BLACKPOOL NORTH AND CLEVELEYS,,,,,,,,,,,,,0.36495774925476093,,0.4446070183139464,0.0385011854447995
59,E14000573,BLACKPOOL SOUTH,,,,0.27,,,0.247515670386791,0.32439928272564256,0.4144876083839694,0.5703544994156603,0.5428954423592494,0.5053205362265922,0.4105762673334849,0.4176840547539771,0.502989729064744,0.030776746458231558
60,W07000072,BLAENAU GWENT,,,,,,,0.7009380601010219,0.7588965708604065,0.7897727272727273,0.7946757506939187,0.7204097714736013,0.3229411931576409,0.5239697484179657,0.580121831897232,0.5801321640316206,0.0425229160461961
61,E14000574,BLAYDON,0.6617139269645286,0.6920577992619159,0.6487767969735183,0.59,0.5726862683615138,0.5340154448506349,0.44385361276196433,0.5033955350208114,0.5267075903731853,0.5995645073489385,0.5484549425659279,0.515197295982383,0.4964486896889542,0.4915880363183194,0.5610806089343648,0.08106214837678685
62,E14000575,BLYTH VALLEY,,,,,,,0.39496498832944316,0.4245311620252068,0.4988109997764273,0.6420601666588202,0.5970188133140376,0.5495485421966287,0.44484779339314423,0.4631444840227763,0.5594257472346434,0.05264446021684329
63,E14000576,BOGNOR REGIS AND LITTLEHAMPTON,,,,,,,,,,,,,0.14044224366088962,,0.24890948745910577,0.11020440036702263
64,E14000577,BOLSOVER,0.7934459545281342,0.8203221809169765,0.7749791672266875,0.76,0.7055095706156234,0.665754618755902,0.5633365911698466,0.5620678756271976,0.6452734144998006,0.7397182266841017,0.6858718089414961,0.6516189048812631,0.5,0.5123414700668212,0.5192072056579032,0.038290739692629194
