,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/ PC Vote,Other Vote,Total votes
533,543,STOCKTON-ON-TEES,North East,0.44223382251551263,0.5486801930463903,,,0.009085984438097114,40612
534,544,STOKE NEWINGTON AND HACKNEY NORTH,London,0.3472354550204383,0.6283922918523527,,,0.024372253127209025,32537
535,545,"STOKE ON TRENT,CENTRAL",West Midlands,0.3744205436051359,0.6255794563948641,,,,29985
536,546,"STOKE ON TRENT,NORTH",West Midlands,0.3380579784504874,0.6619420215495125,,,,31184
537,547,"STOKE ON TRENT,SOUTH",West Midlands,0.3869760696156635,0.6024655547498187,,,0.010558375634517767,34475
538,548,STRATFORD,West Midlands,0.5807744761747324,0.2354217464974997,0.1838037773277679,,,48394
539,549,STRETFORD,North West,0.5377044869748135,0.4622955130251864,,,,53243
540,550,STROUD,South West,0.5106699845417185,0.3611582400180975,0.128171775440184,,,53046
541,551,SUDBURY AND WOODBRIDGE,Eastern,0.5457225647764412,0.33405775127194315,0.12021968395161563,,,59358
542,552,SUNDERLAND NORTH,North East,0.39367782298845166,0.6063221770115483,,,,42517
543,553,SUNDERLAND SOUTH,North East,0.43568394937134686,0.5643160506286531,,,,47562
544,554,SURBITON,London,0.5172372694496589,0.3119394535323739,0.11999046512320849,,0.0508328118947588,33561
545,556,SUTTON AND CHEAM,London,0.5809024999393807,0.27305351470623895,0.14604398535438035,,,41241
546,557,SUTTON COLDFIELD,West Midlands,0.5739570164348925,0.28302976385572254,0.1430132197093849,,,64071
547,558,"SWANSEA,EAST",Wales,0.19917325227963525,0.6853009118541034,,0.10183586626139818,0.013689969604863222,41125
548,559,"SWANSEA,WEST",Wales,0.43606109423112216,0.5020901731275108,,0.061848732641367074,,49039
549,560,SWINDON,South West,0.434918648310388,0.5552414656251349,,,0.009839886064477148,46342
550,561,TAUNTON,South West,0.5354540244002293,0.3648366494718742,0.0997093261278965,,,48852
551,562,TAVISTOCK,South West,0.5714980652294085,0.19860696517412935,0.22989496959646213,,,45225
552,282,THE HARTLEPOOLS,North East,0.42153177983796875,0.5784682201620313,,,,47892
553,320,THE ISLE OF ELY,Eastern,0.5993628201415035,0.4006371798584964,,,,48338
554,625,THE WREKIN,West Midlands,0.5049763670599086,0.49502363294009144,,,,52046
555,563,THIRSK AND MALTON,Yorkshire and the Humber,0.6686435358542023,0.3313564641457977,,,,46201
556,564,THURROCK,Eastern,0.35183446482738695,0.5574534161490683,0.0907121190235447,,,55384
